nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills	almanac	utsw	sarcoma	genSclc	nob	gbSarcoma	cshl	lantern	lantnci	ncats	uniSarcoma	genSarcoma	tncats	achilles	ukhyun	ancats	acc	prism	cellosaurus_accession	cellosaurus_identifier
NA	NA	NA	NA	NA	NA	NA	EI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_F958	EI
NA	NA	NA	NA	NA	NA	NA	HHUA7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	ARK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	ARK2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_IV73	USPC-ARK-2
NA	NA	NA	NA	NA	NA	NA	DFCI032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A763	DFCI032
NA	NA	NA	NA	NA	NA	NA	H2077	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5157	NCI-H2077
NA	NA	NA	NA	NA	NA	NA	H2250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A527	NCI-H2250
NA	NA	NA	NA	NA	NA	NA	H2258	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A528	NCI-H2258
NA	NA	NA	NA	NA	NA	NA	H720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1583	NCI-H720
NA	NA	NA	NA	NA	NA	NA	H820	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1592	NCI-H820
NA	NA	NA	NA	NA	NA	NA	H920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1599	NCI-H920
NA	NA	NA	NA	NA	NA	NA	H969	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1601	NCI-H969
NA	NA	NA	NA	NA	NA	NA	HCC1313	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_L087	HCC1313
NA	NA	NA	NA	NA	NA	NA	HCC4011	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_S700	HCC4011
NA	NA	NA	NA	NA	NA	NA	HCC4019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V581	HCC4019
NA	HCC2429	NA	NA	NA	NA	NA	HCC2429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC2429	NA	NA	NA	NA	CVCL_5132	HCC2429
NA	NA	NA	NA	NA	NA	NA	HCC4018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V580	HCC4018
NA	PC9	NA	NA	NA	NA	NA	PC9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_B260	PC-9
NA	NA	NCI-H64	NCI-H64	NCI-H64	NA	NA	NA	NA	NA	NA	NCI-H64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1573	NCI-H64
NA	NA	NA	NA	NA	NA	NA	H2073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1521	NCI-H2073
NA	NA	NA	NA	NA	NA	NA	H1770	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1493	NCI-H1770
NA	NA	NA	NA	NA	NA	NA	HCC193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5130	HCC193
NA	NA	NA	NA	NA	NA	NA	HCC4017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V579	HCC4017
NA	NA	NA	NA	NA	NA	NA	H2882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5158	NCI-H2882
NA	NA	NA	NA	NA	NA	NA	H1993	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1512	NCI-H1993
NA	NA	NA	NA	NA	NA	NA	H324	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3953	NCI-H324
NA	NA	NA	NA	NA	NA	NA	584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V278	MDA-584
NA	NA	NA	NA	NA	NA	NA	HN30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5525	WSU-HN30
NA	NA	NA	NA	NA	NA	NA	HN31	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5526	WSU-HN31
NA	NA	NA	NA	NA	NA	NA	H125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3968	NCI-H125
NA	NA	NA	NA	NA	NA	NA	HN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	HN5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_8128	HN-5
NA	NA	NA	NA	NA	NA	NA	MDA1186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6977	MDA-1186
NA	NA	NA	NA	NA	NA	NA	MDA1386TU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_H542	MDA-1386Tu
NA	NA	NA	NA	NA	NA	NA	MDA1586	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6981	MDA-1586
NA	NA	NA	NA	NA	NA	NA	H1819	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1497	NCI-H1819
NA	NA	NA	NA	NA	NA	NA	MDA1686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_AT79	MDA-1686
NA	NA	NA	NA	NA	NA	NA	MDA886LN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6987	MDA-886Ln
NA	NA	NA	NA	NA	NA	NA	MSK922	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6989	MSK-922
NA	NA	NA	NA	NA	NA	NA	HCC2374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A353	HCC2374
NA	NA	NA	NA	NA	NA	NA	PCI13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C182	PCI-13
NA	NA	NA	NA	NA	NA	NA	PCI24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_AT94	PCI-24 [Human OCSCC]
NA	NA	NA	NA	NA	NA	NA	PJ34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2679	PE/CA-PJ34 (clone C12)
NA	HCC2450	NA	NA	NA	NA	NA	HCC2450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC2450	NA	NA	NA	NA	CVCL_5133	HCC2450
NA	NA	NA	NA	NA	NA	NA	HCC3051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_V582	HCC3051
NA	NA	NA	NA	NA	NA	NA	SCC61	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7118	SCC-61
NA	NA	NA	NA	NA	NA	NA	SN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	SN2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	SQCCY1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0551	SqCC/Y1
NA	NA	NA	NA	NA	NA	NA	SR1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	TR146	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2736	TR146
NA	NA	NA	NA	NA	NA	NA	UMSCC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7707	UM-SCC-1
NA	HCC515	NA	NA	NA	NA	NA	HCC515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	HCC515	NA	NA	NA	NA	CVCL_5136	HCC515
NA	NA	NA	NA	NA	NA	NA	UMSCC10A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7713	UM-SCC-10A
NA	NA	NA	NA	NA	NA	NA	UMSCC11B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7716	UM-SCC-11B
NA	NA	NA	NA	NA	NA	NA	UMSCC14B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7720	UM-SCC-14B
NA	NA	NA	NA	NA	NA	NA	UMSCC17A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7724	UM-SCC-17A
NA	NA	NA	NA	NA	NA	NA	UMSCC19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7727	UM-SCC-19
NA	NA	NA	NA	NA	NA	NA	UMSCC22A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7731	UM-SCC-22A
NA	NA	NA	NA	NA	NA	NA	UMSCC4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7751	UM-SCC-4
NA	NA	NA	NA	NA	NA	NA	UMSCC47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UM-SCC-47	NA	NA	UM-SCC-47	NA	NA	CVCL_7759	UM-SCC-47
NA	NA	NA	NA	NA	NA	NA	UMSCC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7773	UM-SCC-6
NA	NA	NA	NA	NA	NA	NA	HOSC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_IW50	HOSC1
NA	NA	NA	NA	NA	NA	NA	HOSC2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	RH28	NA	NA	Rh28	NA	NA	Rh28	NA	NA	NA	NA	Rh28	Rh28	NA	RH28	NA	NA	NA	NA	CVCL_8752	Rh28
NA	NA	NA	NA	NA	NA	NA	H187	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1501	NCI-H187
NA	NA	NA	NA	NA	NA	NA	H378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1560	NCI-H378
NA	NA	NA	NA	NA	NA	NA	HBCLS2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6214	HB-CLS-2
NA	NA	NA	NA	NA	NA	NA	HBCLS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6213	HB-CLS-1
NA	NA	NA	NA	NA	NA	NA	CLS439	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5982	CLS-439
NA	NA	NA	NA	NA	NA	NA	UMUC17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_R743	UM-UC-17
NA	NA	NA	NA	NA	NA	NA	UMUC15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_R742	UM-UC-15
NA	NA	NA	NA	NA	NA	NA	UMUC13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UMUC13	NA	NA	NA	NA	CVCL_2746	UM-UC-13
NA	NA	NA	NA	NA	NA	NA	UMUC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_S992	UM-UC-12
NA	NA	NA	NA	NA	NA	NA	UMUC9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	UMUC9	NA	NA	NA	NA	CVCL_2753	UM-UC-9
NA	NA	NA	NA	NA	NA	NA	HS891T	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0985	Hs 891.T
NA	NA	NA	NA	NA	NA	NA	WT97	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_K231	WT 9-7
NA	NA	NA	NA	NA	NA	NA	RCCHB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5877	KTCTL-48
NA	NA	NA	NA	NA	NA	NA	RCCMH	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5885	KTCTL-129
NA	NA	NA	NA	NA	NA	NA	HEK293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0045	HEK293
NA	NA	NA	NA	NA	NA	NA	RCCGS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5875	KTCTL-185
NA	NA	NA	NA	NA	NA	NA	RCCWK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5888	KTCTL-87
NA	NA	NA	NA	NA	NA	NA	CCD1103KIDTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3298	CCD-1103 KIDTr
NA	NA	NA	NA	NA	NA	NA	RCCFG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5872	KTCTL-26
NA	NA	NA	NA	NA	NA	NA	RCCKL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5881	RCC-KL
NA	NA	NA	NA	NA	NA	NA	CCD1105KIDTR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3299	CCD-1105 KIDTr
NA	NA	NA	NA	NA	NA	NA	2A8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6247	Akata 2A8
NA	NA	NA	NA	NA	NA	NA	A15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	BCBL1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0165	BCBL-1
NA	NA	NA	NA	NA	NA	NA	JVM13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1318	JVM-13
NA	NA	NA	NA	NA	NA	NA	RAMOS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0597	Ramos
NA	NA	NA	NA	NA	NA	NA	NCEB1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	U2932	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1896	U-2932
NA	NA	NA	NA	NA	NA	NA	SUM190	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3423	SUM190PT
NA	NA	NA	NA	NA	NA	NA	UACC732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_4050	UACC-732
NA	NA	NA	NA	NA	NA	NA	MCF10A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0598	MCF-10A
NA	NA	NA	NA	NA	NA	NA	184A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3040	184A1
NA	NA	NA	NA	NA	NA	NA	SUM225	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5593	SUM225CWN
NA	NA	NA	NA	NA	NA	NA	184B5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_4688	184B5
NA	CACO2	NA	NA	NA	NA	NA	CACO2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Caco-2	NA	NA	Caco-2	NA	NA	CVCL_0025	Caco-2
NA	NA	NA	NA	NA	NA	NA	Z1226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	KTOIII	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	SPAC1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_IW47	SPAC-1-L
NA	NA	NA	NA	NA	NA	NA	PEO14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2687	PEO14
NA	NA	NA	NA	NA	NA	NA	PEA2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2683	PEA2
NA	NA	NA	NA	NA	NA	NA	KK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_F844	KK
NA	NA	NA	NA	NA	NA	NA	KOC7C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_5307	KOC-7C
NA	NA	NA	NA	NA	NA	NA	RMG1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1662	RMG-I
NA	NA	NA	NA	NA	NA	NA	OV167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A402	OV167
NA	NA	NA	NA	NA	NA	NA	OV207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_A404	OV207
NA	NA	NA	NA	NA	NA	NA	OVCA429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_3936	OVCA429
NA	NA	NA	NA	NA	NA	NA	UMSCC5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7762	UM-SCC-5
NA	NA	NA	NA	NA	NA	NA	UMSCC7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7776	UM-SCC-7
NA	NA	NA	NA	NA	NA	NA	UMSCC8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7781	UM-SCC-8
NA	NA	NA	NA	NA	NA	NA	UMSCC12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7717	UM-SCC-12
NA	NA	NA	NA	NA	NA	NA	UMSCC38	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7749	UM-SCC-38
NA	NA	NA	NA	NA	NA	NA	UMSCC74A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7779	UM-SCC-74A
NA	NA	NA	NA	NA	NA	NA	UMSCC81A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_7783	UM-SCC-81A
NA	NA	NA	NA	NA	NA	NA	UPCISCC003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C025	UPCI-SCC-003
NA	NA	NA	NA	NA	NA	NA	UPCISCC016	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C027	UPCI-SCC-016
NA	NA	NA	NA	NA	NA	NA	UPCISCC125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C054	UPCI-SCC-125
NA	NA	NA	NA	NA	NA	NA	UPCISCC153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C059	UPCI-SCC-153
NA	NA	NA	NA	NA	NA	NA	UPCISCC154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_2230	UPCI-SCC-154
NA	NA	NA	NA	NA	NA	NA	HEP3B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0326	Hep 3B2.1-7
NA	NA	NA	NA	NA	NA	NA	H2135	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_1533	NCI-H2135
NA	NA	NA	NA	NA	NA	NA	LY3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_8800	OCI-Ly3
NA	NA	NA	NA	NA	NA	NA	M257	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D757	M257
NA	NA	NA	NA	NA	NA	NA	M308	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D766	M308
NA	NA	NA	NA	NA	NA	NA	M207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D747	M207
NA	NA	NA	NA	NA	NA	NA	CHL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_0238	Chang Liver
NA	NA	NA	NA	NA	NA	NA	M299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D765	M299
NA	NA	NA	NA	NA	NA	NA	M244	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D753	M244
NA	NA	NA	NA	NA	NA	NA	M245	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D754	M245
NA	NA	NA	NA	NA	NA	NA	M375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D770	M375
NA	NA	NA	NA	NA	NA	NA	M368	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D769	M368
NA	NA	NA	NA	NA	NA	NA	M233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D750	M233
NA	NA	NA	NA	NA	NA	NA	SBCL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D732	SBcl2
NA	NA	NA	NA	NA	NA	NA	M263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D759	M263
NA	NA	NA	NA	NA	NA	NA	WC00117A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_C275	WM3629
NA	NA	NA	NA	NA	NA	NA	WC00119A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6799	WM3670
NA	NA	NA	NA	NA	NA	NA	M296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D763	M296
NA	NA	NA	NA	NA	NA	NA	WM1366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_6789	WM1366
NA	NA	NA	NA	NA	NA	NA	M285	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D761	M285
NA	NA	NA	NA	NA	NA	NA	M238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_D751	M238
NA	NA	NA	NA	NA	NA	NA	M328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	CVCL_IW41	M328
